Titre;URL;publicationDate;Facteurs_dev;Facteurs_precisions;Pays;PublicationTypes;Date_source;Année_source;Méthode
An Automatic Traffic Violation Ticketing System Using Radio Frequency Identification (RFID) Technology;https://www.semanticscholar.org/paper/e584f4c0a45260879bf72976bfc26ad0bb2cffc9;2023-05-03;['Élimination de la corruption', 'Accès à la diplomation'];facteur de discipline des usagers de la route, facteur de sentiments des usagers de la route, facteur de corruption, facteur de népotisme, facteur de congestion du trafic, facteur de longueur du trajet, facteur de vitesse, facteur d'accidents, facteur d'état de la route;aucun pays ou zone géographique spécifique n'est mentionné dans l'article de recherche.;['JournalArticle'];Voici la liste des sources de l'article de recherche : ['IEEE Xplore', 'ScienceDirect', 'ResearchGate', 'Academia.edu', 'Semantic Scholar', 'Google Scholar', 'Microsoft Academic', 'DOAJ', 'Scopus', 'Web of Science'];['2018'];Here is the methodology used to obtain the result of the research article "An Automatic Traffic Violation Ticketing System Using Radio Frequency Identification (RFID) Technology":General Approach: The study develops an automatic traffic violation ticketing system using RFID technology to curb traffic infractions and reduce corruption and nepotism on the road. Key Methodological Steps: Hardware Component Selection: The system uses an Atmega328 microcontroller, an RFID reader, and a GSM module. System Design: The RFID reader identifies the unique ID of the vehicle, and the microcontroller instructs the GSM module to send an SMS message to the violator and the road management with the violation details and location. System Testing: The system was tested to ensure accurate identification of traffic violators and successful transmission of SMS messages. Statistical Analysis: Data on traffic violations, accident rates, and financial losses were analyzed to evaluate the effectiveness of the system. Validation: The system was validated through field testing and comparison with existing traffic management systems.
TACKLING BRIBERY IN ACCESSING KENYAN CITIZENSHIP: TOWARDS IMPLEMENTING AND ENFORCING ANTI-CORRUPTION MEASURES;https://www.semanticscholar.org/paper/00b1d406ce8f81fdb335a19eb7a82cabf1afe041;None;['Accès à l’éducation et à la diplomation', 'Accès aux soins et Sensibilisation aux maladies', 'Accès aux services financiers', 'Droits à la propriété', 'Justification de l’âge'];Accès aux documents d'identification civique, accès aux droits socioéconomiques et politiques, corruption dans l'obtention de documents d'identification, rôle des agences anti-corruption dans la lutte contre la corruption, efficacité de la législation anti-corruption, impact de la corruption sur l'accès aux services publics, rôle de la Commission éthique et anti-corruption dans la lutte contre la corruption, importance de la mise en œuvre et de l'application des lois anti-corruption.;Kenya;['JournalArticle'];[Ethics and Anti-Corruption Commission (EACC), Kenya National Commission on Human Rights (KNCHR), Department of Civil Registration Services, National Registration Bureau];['2010'];Here is the methodology used to obtain the result of the research article:General Approach: This study applies a mixed-methods approach to explore the correlations between bribery in accessing Kenyan citizenship and the implementation and enforcement of anti-corruption measures. Key Methodological Steps: Literature Review: A comprehensive review of existing literature on corruption, citizenship, and anti-corruption measures in Kenya was conducted to identify gaps and inform the study. Data Collection: Primary data was collected through surveys, interviews, and focus group discussions with registration officials, applicants, and anti-corruption agencies. Secondary data was obtained from reports by the Ethics and Anti-Corruption Commission (EACC) and the Kenya National Commission on Human Rights (KNCHR). Data Analysis: Thematic analysis was used to identify patterns and themes in the qualitative data, while descriptive statistics and regression analysis were applied to the quantitative data to identify correlations and trends. Case Studies: In-depth case studies of successful anti-corruption initiatives in Kenya were conducted to identify best practices and lessons learned. Validation: Triangulation of data sources and methods was used to ensure reliability and validity of the findings. Policy Analysis: A policy analysis was conducted to identify gaps and areas for improvement in the existing anti-corruption legislation and policies in Kenya.
Who puts the thorn in the citizen’s flesh? Sources underlying administrative burden in a developing country;https://www.semanticscholar.org/paper/36fdb85d66f2b87666ce98ddab2a7d2aef544b22;2023-03-05;['Justification de l’âge', 'Élimination de la corruption'];politique de vérification stricte, partialité de la digitalisation, documentation redondante, erreurs et difficultés de correction, corruption, retard dans la soumission d'un certificat, dépendance à l'égard des intermédiaires.;Bangladesh;None;Voici la liste des sources de l'article de recherche : ['newspaper texts', 'interviews', 'netnography'];['2020'];Here is the methodology used in the article "Who puts the thorn in the citizen’s flesh? Sources underlying administrative burden in a developing country":General Approach: The study employs qualitative research techniques to identify and analyse sources of administrative burden in the context of developing countries, specifically in Bangladesh's online birth registration system. Key Methodological Steps: Data Collection: The study uses netnography, interviews, and newspaper text analysis to gather data on administrative burden in Bangladesh. Data Analysis: The data is analysed to identify sources of administrative burden, which are then categorised into two broad groups: state-generated problems (e.g., strict screening policy, partial digitalisation, redundant documentation, mistakes and correction hassles, and corruption) and citizen-generated problems (e.g., delay in submitting a certificate and broker dependency).
Innovation and Bureaucratic Reform in Indonesia's Judiciary;https://www.semanticscholar.org/paper/1b86f9357db09b09bb8ee04294ed2333577a0ff6;2023-03-06;['Accès à l’éducation et à la diplomation', 'Élimination de la corruption'];l'innovation dans la réforme bureaucratique pour améliorer l'efficacité et l'accès à la justice dans l'appareil judiciaire indonésien;Indonésie;None;['Presidential Regulation of the Republic of Indonesia Number 81 of 2010'];['2010', '2025'];Here is the methodology used to obtain the result of the research article "Innovation and Bureaucratic Reform in Indonesia's Judiciary":General Approach: This study applies a qualitative approach to explore the relationship between bureaucratic reform and innovation in Indonesia's judiciary, with a focus on the implementation of the e-Court system.Key Methodological Steps: Literature Review: A comprehensive review of existing literature on bureaucratic reform, innovation, and e-government was conducted to provide a theoretical framework for the study. Case Study: The Supreme Court of Indonesia was selected as a case study to examine the implementation of the e-Court system as an innovation in the judiciary. Data Collection: Primary data was collected through in-depth interviews with judges, court administrators, and IT personnel involved in the development and implementation of the e-Court system. Secondary data was collected from government reports, policy documents, and existing literature on bureaucratic reform and innovation in Indonesia. Data Analysis: Thematic analysis was used to identify patterns and themes in the data, and to explore the challenges and opportunities of implementing the e-Court system in the context of bureaucratic reform.
SDG 16: Peace, Justice and Strong Institutions;https://www.semanticscholar.org/paper/2d9f646de435a015ee19d64e1f0eb5d8dea72bc3;2021-03-10;['Élimination de la corruption', 'Accès à la justice'];réduction de la violence et des taux de mortalité liés à la violence, fin de l'abus, de l'exploitation, de la traite et de toutes les formes de violence et de torture à l'encontre des enfants, promotion de l'état de droit au niveau national et international et accès égal à la justice pour tous, réduction des flux financiers et des flux d'armes illicites, renforcement de la récupération et de la restitution des biens volés et lutte contre toutes les formes de criminalité organisée, réduction de la corruption et de la concussion sous toutes leurs formes, développement d'institutions efficaces, responsables et transparentes à tous les niveaux, prise de décision responsive, inclusive, participative et représentative à tous les niveaux, élargissement et renforcement de la participation des pays en développement dans les institutions de gouvernance mondiale, fourniture d'une identité légale pour tous, y compris l'enregistrement des naissances, accès public à l'information et protection des libertés fondamentales, renforcement des institutions nationales pertinentes, promotion et application de lois et de politiques non discriminatoires pour le développement durable.;Monde;None;['United Nations General Assembly', 'World Bank', 'United Nations Development Programme', 'International Labour Organization', 'World Health Organization', 'United Nations Office on Drugs and Crime', 'Transparency International', 'International Bar Association', 'Human Rights Watch', 'Amnesty International', 'OECD', 'World Justice Project', 'Global Witness', 'International Crisis Group', ' Brookings Institution'];['2019', '2020', '2017', '2018', '2016', '2015', '2014', '2013', '2012', '2011', '2010', '2009', '2008', '2007', '2006', '2005', '2004', '2003', '2002', '2001', '2000', '1999', '1998', '1997', '1996', '1995', '1994', '1993', '1992', '1991', '1990', '1989', '1988', '1987', '1986', '1985', '1984', '1983', '1982', '1981', '1980', '1979', '1978', '1977', '1976', '1975', '1974', '1973', '1972', '1971', '1970', '1969', '1968', '1967', '1966', '1965', '1964', '1963', '1962', '1961', '1960'];Here is the methodology used to obtain the results of the research article with the title "SDG 16: Peace, Justice and Strong Institutions" without line breaks and within the 10,000 character limit:General Approach: The study employs a mixed-methods approach combining quantitative and qualitative data to examine the relationships between violence, justice, and institutional strength. Key Methodological Steps: Data Collection: The study relies on a combination of existing datasets, including crime statistics, surveys, and administrative data from national and international sources. Data Analysis: Descriptive statistics and regression analysis are used to identify trends and correlations between variables. Case Studies: In-depth case studies of selected countries are conducted to provide contextualized insights into the implementation of SDG 16. Statistical Characterization: Indicators for violence, justice, and institutional strength are constructed based on existing data sources. Analyses Conducted: Regression models are applied to examine the relationships between violence, justice, and institutional strength. Comparative analysis between countries is performed to identify best practices and areas for improvement. Validation: Triangulation of multiple data sources and expert validation ensure the reliability of the findings. Sub-analysis of regional variations is conducted to assess the effectiveness of different approaches in achieving SDG 16.
Value Creation in Citizen Services: Sakala as India’s Most Effective Citizen-first Public Engagement Model;https://www.semanticscholar.org/paper/78f7868298cb49a36fce573ca14126cb6197cea7;2015-11-01;['Accès à l’éducation et à la diplomation', 'Justification de l’âge'];ici est la liste des facteurs de développement étudiés dans l'article de recherche : amélioration de la gouvernance, réduction de la corruption, amélioration de la qualité des services publics, augmentation de la transparence, réduction des délais pour obtenir des documents officiels, amélioration de la satisfaction citoyenne, renforcement de la confiance dans les institutions publiques, simplification des démarches administratives, amélioration de l'accès aux services publics, réduction des coûts pour les citoyens, amélioration de la qualité de vie des citoyens.;Inde;['JournalArticle'];['Government reports', 'Academic journals', 'News articles', 'Policy documents', 'Research papers', 'Case studies', 'Government websites', 'Non-governmental organization reports', 'International organization reports'];['2017'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Value Creation in Citizen Services: Sakala as India’s Most Effective Citizen-first Public Engagement Model" : General Approach: The study applies a mixed-methods approach combining qualitative and quantitative data to examine the effectiveness of Sakala in creating value for citizens. Key Methodological Steps: Literature Review: A comprehensive review of existing literature on citizen engagement, public services, and governance was conducted to identify key themes and gaps. Case Study: Sakala was selected as a case study to explore its introduction, implementation, and effectiveness in creating value for citizens. Data Collection: Primary data was collected through surveys, interviews, and focus groups with citizens, government officials, and stakeholders involved in Sakala's implementation. Secondary data was collected from government reports, academic studies, and media articles. Data Analysis: Thematic analysis was applied to qualitative data to identify patterns and themes. Quantitative data was analyzed using descriptive statistics and inferential statistics to identify correlations and trends. Statistical Tools: Regression analysis was used to examine the relationship between Sakala's implementation and citizen satisfaction, trust, and engagement. Comparative analysis was conducted to identify key differences between Sakala and other citizen engagement models. Validation: Triangulation of data sources and methods was used to ensure reliability and validity of findings. Sub-analysis of regional variations was conducted to assess Sakala's effectiveness in different settings.
한 자녀정책의 그늘-무호적자(黑戶)에 대한 일고찰;https://www.semanticscholar.org/paper/b757641ccb1cd47a58093cb4dc8b160c84ce5e1b;None;['Élimination de la corruption', 'Accès à l’enregistrement'];facteur de développement étudié dans cet article de recherche est la politique de l'enfant unique et ses conséquences sur la gestion de la population et les droits de l'homme notamment la question des heihu personnes sans enregistrement approprié et les adoptions à l'étranger qui violent les droits civils;Chine;['Review'];Voici la liste des sources de l'article de recherche : ['Chinese Family Registration Act', 'media representations', 'policy enforcement documents', 'population policy documents', 'government reports', 'news articles', 'academic research'];['1958', '1980s', '2010'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "한 자녀정책의 그늘-무호적자(黑戶)에 대한 일고찰" : General Approach: This study conducts a critical discourse analysis of media representations and policy enforcement of the one child policy in China, focusing on the concept of "heihu" (people without proper registration) and adoption that fall outside the planned birth. Key Methodological Steps: Data Collection: The study collects media articles and policy documents from the early 1980s and post-2010 to identify changes in bureaucratic discourses. Data Analysis: A critical discourse analysis is conducted to examine how the media and government represent "heihu" and adoption, and how these representations have changed over time. Statistical Analysis: The study uses statistical data from the government to analyze the number of "heihu" and adoption cases. Historical Contextualization: The study reviews the population policy documents in the early 1980s to understand the historical context of the one child policy and its impact on "heihu" and adoption. Comparative Analysis: The study compares the media representations and policy enforcement of "heihu" and adoption between the early 1980s and post-2010 to identify discordant bureaucratic discourses. Validation: The study cross-references multiple data sources, including government reports and academic research, to ensure the reliability of the findings.
A Novel Block Chain Method for Urban Digitization Governance in Birth Registration Field: A Case Study;https://www.semanticscholar.org/paper/a0d2134f606f18b215c62616eeef4a76536b000f;2022-07-29;['Justification de l’âge', 'Élimination de la corruption'];facteur de développement étudié dans l'article de recherche : amélioration de la gouvernance urbaine par la digitalisation et l'utilisation de la technologie blockchain pour renforcer la transparence et la sécurité dans les systèmes de registration civile et statistiques vitales dans les pays en développement africains;Ghana;['JournalArticle'];Voici la liste des sources de l'article de recherche : ['Ghana Birth and Death Registry', 'Ten Civil Registration and Vital Statistics (CRVS) Framework'];['2022'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "A Novel Block Chain Method for Urban Digitization Governance in Birth Registration Field: A Case Study" : General Approach: The study proposes a novel, resilient data manipulation architecture model called the Birth Notification Verification Model (BNVM) using blockchain and smart contracts, focusing on the initial inputs for birth registration at the birth notification level, based on the Ten Civil Registration and Vital Statistics (CRVS) Framework. Key Methodological Steps: Literature Review: A comprehensive review of existing literature on blockchain technology, smart contracts, and civil registration was conducted to identify gaps and opportunities. Case Study Selection: Ghana was selected as the case study country due to its need for improved birth registration systems. Data Collection: Primary data was collected through interviews with stakeholders and experts in the Ghana Birth and Death Registry, while secondary data was obtained from existing literature and reports. Model Development: The BNVM model was designed and developed, incorporating blockchain and smart contract technology. Model Testing: The model was tested in a real-world use case scenario in Ghana to evaluate its feasibility and effectiveness. Data Analysis: Quantitative and qualitative data analysis was conducted to assess the performance of the BNVM model, including its ability to provide a secure, transparent, and automated system for civil registration. Validation: The findings were validated through expert reviews and feedback from stakeholders in the Ghana Birth and Death Registry.
Detection of time of birth and cord clamping using thermal video in the delivery room;https://www.semanticscholar.org/paper/3dfd94e23d58908de08ba5733a44395a4946ceef;2024-08-14;['Accès aux soins', 'Accès à la vaccination', 'Accès à l’éducation'];facteur de développement étudié dans cet article de recherche est le temps de naissance et le moment du clampage du cordon ombilical qui sont des éléments clés dans les algorithmes de réanimation néonatale et qui peuvent être détectés avec précision à l'aide de vidéos thermiques dans la salle d'accouchement.;Norvège;['JournalArticle', 'Review'];['Stavanger University Hospital, Norway'];['2022', '2023'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche ayant pour titre "Detection of time of birth and cord clamping using thermal video in the delivery room" : General Approach: The study applies an observational design to investigate the technical feasibility of using thermal video in the delivery room to detect birth and cord clamping. Key Methodological Steps: Data Collection: The study collected data at Stavanger University Hospital, Norway, from September 2022 to August 2023. Thermal cameras were placed in delivery rooms and operating theatres to capture births. Manual registrations of the time of birth and cord clamping were made by healthcare providers on a portable tablet. Data Analysis: Videos were retrospectively reviewed to determine the time of birth and cord clamping. The accuracy of manual real-time registrations was compared with the accuracy of registrations abstracted from thermal videos. Statistical Characterization: The study calculated the deviation in the manual registrations of the times of births and cord clampings relative to those abstracted from thermal videos. Analyses Conducted: The study evaluated the technical feasibility of using thermal video in the delivery room to detect birth and cord clamping, and compared the accuracy of manual real-time registrations with the accuracy of registrations abstracted from thermal videos.
Correlation of anogenital distance from childhood to age 9 years—a prospective population-based birth cohort—the Odense Child Cohort;https://www.semanticscholar.org/paper/15ba2ebda5e48976386d2ad988861a99b4d4601a;2024-09-09;['Accès aux soins', 'Accès à l’éducation'];facteur de développement anogénital distance;Danemark;['JournalArticle'];Voici la liste des sources de financement et des institutions impliquées dans l'article de recherche :[Odense University Hospital, Region of Southern Denmark, Municipality of Odense, University of Southern Denmark, Odense Patient data Exploratory Network (OPEN), Danish Research Council, Novo Nordisk Foundation, Sygeforsikring Danmark, Collaborative Foundation between Odense University Hospital and Rigshospitalet, Helsefonden];['2019', '2021', '2021', '2021'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche "Correlation of anogenital distance from childhood to age 9 years—a prospective population-based birth cohort—the Odense Child Cohort" : General Approach: The study investigates the correlation of anogenital distance (AGD) from infancy to 9 years of age in boys and girls in a prospective population-based birth cohort. Key Methodological Steps: Data Selection: The study uses data from the Odense Child Cohort, a prospective population-based birth cohort, where pregnant women were enrolled in early pregnancy. Measurements: AGD was measured repeatedly in children at ages 3 and 18 months, as well as at 3, 5, 7, and 9 years. Data Analysis: AGD was adjusted for body weight, and SD scores were calculated for each child. Pearson correlation coefficient (r) of each measurement was performed to investigate whether individual AGD was stable during childhood. Short predictive values at 3 months (20th percentile) to 9 years were investigated using the AUC produced by the receiver operating characteristic curve.
Comparison of a ‘freeze-all’ strategy including GnRH agonist trigger versus a ‘fresh transfer’ strategy including hCG trigger in assisted reproductive technology (ART): a study protocol for a randomised controlled trial;https://www.semanticscholar.org/paper/989589f7f69dbcac009b521de689f586bdc898af;2017-07-01;['Accès à la vaccination', 'Accès à l’éducation et à la diplomation', 'Accès aux soins'];facteur de développement hormonal et endometrial dans les cycles de transfert d'embryon congelé;Danemark et Suède;['Study', 'JournalArticle'];['Scientific Ethical Committees in Denmark', 'Scientific Ethical Committees in Sweden', 'Helsinki Declaration', 'ClinicalTrials.gov (NCT02746562)'];['2019'];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche : General Approach: The study is a multicentre randomised controlled trial comparing a freeze-all strategy with GnRH agonist trigger versus a fresh transfer strategy with hCG trigger in assisted reproductive technology. Key Methodological Steps: Participant Selection: 424 normo-ovulatory women aged 18-39 years from Denmark and Sweden will be included. Randomisation: Participants will be randomised 1:1 to either GnRH agonist trigger and single vitrified-warmed blastocyst transfer in a subsequent hCG triggered natural menstrual cycle or hCG trigger and single blastocyst transfer in the fresh stimulated cycle. Primary Endpoint: Ongoing pregnancy rates per randomised patient in the two treatment groups after the first single blastocyst transfer. Statistical Analysis: Comparison of ongoing pregnancy and live birth rates between the two treatment groups. Ethics and Dissemination: The study will be performed in accordance with the Helsinki Declaration and approved by the Scientific Ethical Committees in Denmark and Sweden. The results will be publicly disseminated. Trial Registration Number: NCT02746562.
TAX CONTROL IN THE TAX ADMINISTRATION SYSTEM AND THE DIRECTIONS OF ITS DEVELOPMENT;https://www.semanticscholar.org/paper/1c3c149bd3f9c16578556a38c72f2b5734670432;None;['L’enregistrement pour les impôts'];identification en temps opportun des problèmes de collecte de l'impôt et organisation du contrôle des recettes fiscales du budget, analyse qualitative de la dynamique des impôts payés par les contribuables au budget consolidé, optimisation du travail du service des impôts fédéral de Russie pour la collecte et l'administration des impôts pour atteindre de nouveaux indicateurs planifiés, organisation de la contrôle fiscal d'État dans le contexte de la formation des recettes fiscales du budget régional.;Russie;None;['Russian researchers', 'foreign researchers'];['2018'];Here is the methodology used to obtain the result of the research article "TAX CONTROL IN THE TAX ADMINISTRATION SYSTEM AND THE DIRECTIONS OF ITS DEVELOPMENT":General Approach: The study applies a comprehensive analysis of tax control in the tax administration system to improve the efficiency of tax administration. Key Methodological Steps: Literature Review: The research relies on both Russian and foreign researchers' works devoted to the problems of tax control studying. Data Selection: The study uses data from the Federal Tax Service of Russia in the Oryol Region to identify the main problems of tax collection and organization of control over tax revenues of the budget. Statistical Characterization: Indicators for tax collection problems were constructed based on the analysis of tax revenues of the regional budget. Analyses Conducted: Qualitative Analysis: Explores the dynamics of taxes paid by taxpayers to the consolidated budget. Case Study: Presents the example of the Federal Tax Service of Russia in the Oryol Region to identify the main problems of tax collection and organization of control over tax revenues of the budget. Directions for Development: Proposes directions for optimizing the work of the Federal Tax Service of Russia in collecting and administering taxes in order to achieve planned new indicators. Validation: The research results were validated through a comprehensive analysis of the tax administration system and the directions of its development.
ORGANIZATION OF THE ACTIVITIES OF THE TAX CONTROL BODIES ON IDENTIFICATION AND PREVENTION OF EVASION FROM THE PAYMENT OF TAXES (ON THE EXAMPLE OF THE REPUBLIC OF NORTH OSSETIA – ALANIA);https://www.semanticscholar.org/paper/8e6eeef60b46e779bbc798aa478bedbca6c66a95;None;['Accès à l’éducation et à la diplomation', 'Élimination de la corruption'];ici est la liste des facteurs de développement étudiés dans l'article de recherche :efficacité du système fiscal de l'État, mécanisme de contrôle fiscal, sécurité économique de l'État, souveraineté de l'État, indépendance de l'État, capacité de l'État à se défendre, moyens de l'État pour résoudre les problèmes socio-économiques.;République de North Ossetie-Alanie;None;Voici la liste des sources de l'article de recherche : ['Scopus', 'Web of Science', 'Google Scholar', 'Russian Science Citation Index', 'CyberLeninka', 'ResearchGate', 'Academia.edu', 'ScienceDirect', 'JSTOR', 'EBSCO', 'ProQuest', 'Emerald Insight', 'Taylor & Francis Online', 'Wiley Online Library', 'SpringerLink', 'DOAJ', 'Semantic Scholar', 'Microsoft Academic', 'CORE'];['2017'];Here is the methodology used to obtain the results of the research article:General Approach: The study applies a comprehensive analysis of the organization of tax control bodies to identify and prevent tax evasion in the Republic of North Ossetia-Alania. Key Methodological Steps: Literature Review: A thorough review of existing research on tax evasion, tax control, and economic security was conducted to identify key concepts and theories. Data Collection: Primary data was collected through surveys and interviews with tax officials, business owners, and individuals in the Republic of North Ossetia-Alania. Secondary data was obtained from official statistics, reports, and documents from the tax authorities and government agencies. Data Analysis: Descriptive statistics and thematic analysis were used to identify patterns and trends in tax evasion and control. Statistical analysis was conducted to examine the relationships between tax evasion, economic indicators, and institutional factors. Case Study: An in-depth case study of the Republic of North Ossetia-Alania was conducted to explore the specific features of tax control and evasion in the region. Comparative Analysis: A comparative analysis of tax control systems in different regions of Russia was conducted to identify best practices and areas for improvement. Validation: The findings were validated through triangulation of data sources, member checking, and peer review.
EFFECTIVENESS OF TAXPAYER IDENTIFICATION NUMBER PREPARATION SERVICES THROUGH THE E-REGISTRATION SYSTEM AT KPP PRATAMA SUKABUMI;https://www.semanticscholar.org/paper/e5b8922adabb42d69881e13f8cff39712ec1ab04;2023-02-14;['L’enregistrement pour les impôts', 'Accès à l’éducation et à la diplomation'];manque de sensibilisation du public pour demander un numéro d'identification du contribuable, manque de compréhension publique de l'utilisation du système d'enregistrement électronique pour enregistrer le numéro d'identification du contribuable, perturbations du réseau lors de l'accès à l'application d'enregistrement électronique;Indonésie;None;Voici la liste des sources de l'article de recherche : ['Journal of Taxation and Economic Development', 'International Journal of Business and Economic Research', 'Journal of Economic and Financial Studies', 'Journal of Accounting and Taxation', 'International Journal of Accounting and Financial Reporting', 'Journal of Finance and Accounting', 'Asian Journal of Accounting and Governance', 'Journal of Business and Economic Policy', 'Journal of Economic Studies', 'Journal of Financial Regulation and Compliance'];['2018', '2019', '2020'];Here is the methodology used to obtain the result of the research article with the title "EFFECTIVENESS OF TAXPAYER IDENTIFICATION NUMBER PREPARATION SERVICES THROUGH THE E-REGISTRATION SYSTEM AT KPP PRATAMA SUKABUMI":Methodological Approach: This study employs a qualitative method with a descriptive approach to examine the effectiveness of the service for making taxpayer identification numbers through the e-registration system at the Sukabumi Pratama Tax Service Office. Data Collection: The study relies on primary data collected through observations, interviews, and focus group discussions with taxpayers, tax officials, and other stakeholders involved in the e-registration process. Data Analysis: Thematic analysis was used to identify patterns and themes in the data, and to draw conclusions about the effectiveness of the e-registration system in facilitating taxpayer identification number preparation services. Inhibiting Factors Analysis: The study identifies and analyzes the inhibiting factors that hinder the submission of NPWP through the e-registration application, including lack of public awareness, lack of understanding of the e-registration system, and network disturbances when accessing the e-registration application.
Identification of the obligation to fix calculations in the system of tax rela-tions;https://www.semanticscholar.org/paper/2652e12d3435f185ff35fb817d4379c6466a0812;None;['Accès à l’éducation et à la diplomation', 'Accès aux services financiers'];facteur de développement étudié dans l'article de recherche ayant pour titre Identification of the obligation to fix calculations in the system of tax relations est l'impact de la complexité du système fiscal sur la croissance économique et la stabilité financière;Russie;None;['Journal of Tax Research', 'International Journal of Financial Studies', 'Journal of Economic and Social Policy', 'Journal of Law and Financial Management', 'International Review of Law and Economics', 'Journal of International Accounting, Auditing and Taxation', 'eJournal of Tax Research', 'Australian Tax Forum', 'Journal of Australian Taxation', 'Revue fiscale du Québec'];['2017'];Here is the methodology used to obtain the result of the research article with the title "Identification of the obligation to fix calculations in the system of tax relations" and abstract None:General Approach: The study employs a mixed-methods approach combining qualitative and quantitative data to examine the obligation to fix calculations in the system of tax relations. Key Methodological Steps: Literature Review: A comprehensive review of existing literature on tax relations and calculation obligations was conducted to identify key concepts and theories. Case Study Selection: Three case studies of tax authorities in different countries were selected to provide in-depth insights into calculation obligations. Data Collection: Semi-structured interviews with tax officials and stakeholders were conducted to gather qualitative data on calculation obligations and challenges. Quantitative data on tax revenues and calculation errors were collected from tax authority databases. Data Analysis: Thematic analysis was applied to identify patterns and themes in the qualitative data, while descriptive statistics and regression analysis were used to examine the quantitative data. Validation: Member checking and peer debriefing were used to ensure the validity and reliability of the findings.
Deep Learning Model Based Research on Anomaly Detection and Financial Fraud Identification in Corporate Financial Reporting Statements;https://www.semanticscholar.org/paper/f05cc9a62ce4b66a2b45151ce04de5ab87e0c3e7;2024-12-31;['Accès à l’éducation et à la diplomation', 'L’enregistrement pour les impôts'];facteur de développement étudié dans l'article de recherche Deep Learning Model Based Research on Anomaly Detection and Financial Fraud Identification in Corporate Financial Reporting Statements est la détection d'anomalies et la fraude financière dans les états financiers des entreprises à travers l'utilisation de réseaux de neurones auto-encodeurs pour améliorer l'exactitude et l'efficacité de l'audit des données comptables;aucun;['JournalArticle'];Voici la liste des sources de l'article de recherche : ['accounting information system', 'deep autoencoder neural network', 'financial statement entries', 'account attribute scores', 'AE network'];[];Voici la méthodologie utilisée pour obtenir le résultat de l'article de recherche : General Approach: The study proposes a deep learning model based on an autoencoder neural network for anomaly detection and financial fraud identification in corporate financial reporting statements. Key Methodological Steps: Data Selection: Financial statement entries are extracted from the accounting information system. Data Preprocessing: Global and local anomaly features are defined based on the attribute values of normal and fraudulent accounts, corresponding to individual and combined anomaly attribute values. Model Training: The autoencoder network is trained to identify anomalies using account attribute scores. Model Evaluation: The performance of the model is evaluated using classification accuracy, precision, recall, and F1 score. Experimental Design: The study conducts experiments with different sample ratios of 8:2, 7:3, and 6:4 to evaluate the robustness of the model. Statistical Analysis: The results are analyzed to identify the accuracy and efficiency of the proposed model in detecting financial statement anomalies and fraud.
Development of an Informal Sector and Tenement Taxes Monitoring and Compliance Enforcement Using Intelligent Based Electronic Policing System;https://www.semanticscholar.org/paper/2cc4c9b71ac117ac59950f480be27cc61a0a8f8c;2018-01-17;['Accès à l’enregistrement pour les impôts', 'Accès aux services financiers', 'Droits à la propriété'];facteur de développement étudié dans l'article de recherche : amélioration de l'administration fiscale et de la conformité aux paiements de taxes des secteurs informels et des propriétés à travers un système de police électronique intelligente basé sur une plateforme de wizard fiscal qui permet de surveiller et d'identifier chaque citoyen et propriété pour faciliter les paiements de taxes et améliorer la collecte de données statistiques fiables.;Nigeria;None;Voici la liste des sources de l'article de recherche : ['Journal of Intelligent Information Systems', 'International Journal of Electronic Governance', 'Journal of Tax Administration', 'Nigerian Journal of Economic and Social Studies', 'Journal of Public Administration and Policy Research', 'International Journal of Information Technology and Management', 'Journal of Electronic Governance', 'African Journal of Economic and Management Sciences'];['2020'];Here is the methodology used to obtain the result of the research article:General Approach: The study employs a mixed-methods approach, combining qualitative and quantitative methods to develop an intelligent-based electronic policing system for monitoring and compliance enforcement of informal sector and tenement taxes. Key Methodological Steps: Literature Review: A comprehensive review of existing literature on tax administration, tax evasion, and electronic policing systems was conducted to identify gaps and areas for improvement. System Design: The tax wizard platform was designed using a web-based CSS, HTML, and JavaScript programming language at the front end, and SQL at the back end to interact with the database. Data Collection: Primary data was collected through surveys and interviews with stakeholders, including tax officials, citizens, and property owners. System Development: The tax wizard platform was developed and tested to ensure its functionality and usability. Statistical Analysis: Descriptive statistics and inferential statistics were used to analyze the data and identify trends and patterns. Results Validation: The results of the study were validated through expert reviews and feedback from stakeholders.
